年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,1034328.000000,152731.000000,189033.000000,64765.000000,129822.000000,80277.000000,123260.000000,23132.000000,14918.000000,22727.000000,56528.000000,20283.000000,24477.000000,17207.000000,33396.000000,10686.000000,15886.000000,4808.000000,16330.000000,19285.000000,14777.000000,-,-
1999,-,1046600.000000,155383.000000,190033.000000,67784.000000,129608.000000,80767.000000,125436.000000,23320.000000,15407.000000,22695.000000,57566.000000,19104.000000,25030.000000,17372.000000,34225.000000,10801.000000,16234.000000,4884.000000,16545.000000,19580.000000,14826.000000,-,-
2000,-,1057188.000000,158554.000000,193039.000000,69932.000000,130103.000000,80799.000000,125881.000000,23345.000000,15651.000000,22820.000000,58131.000000,19421.000000,25275.000000,17333.000000,34004.000000,10738.000000,16314.000000,4902.000000,16353.000000,19720.000000,14873.000000,-,-
2001,-,1058422.000000,159187.000000,191616.000000,71366.000000,129386.000000,81816.000000,125910.000000,23207.000000,16194.000000,23030.000000,57984.000000,19557.000000,24849.000000,17346.000000,33958.000000,10827.000000,16370.000000,4922.000000,16517.000000,19582.000000,14798.000000,-,-
2002,-,1070245.000000,162856.000000,191867.000000,73445.000000,130551.000000,82910.000000,127226.000000,23297.000000,16701.000000,22988.000000,58509.000000,20126.000000,25149.000000,17656.000000,34052.000000,10813.000000,16520.000000,4072.000000,16701.000000,19878.000000,14928.000000,10904.000000,-
2003,1108629.000000,1097440.000000,166902.000000,193403.000000,75711.000000,136011.000000,85878.000000,130535.000000,23389.000000,17353.000000,23075.000000,59413.000000,21003.000000,25209.000000,17898.000000,35670.000000,10845.000000,17330.000000,5331.000000,16825.000000,20314.000000,15345.000000,10309.000000,880.000000
2004,1141167.000000,1130127.000000,174600.000000,195325.000000,79516.000000,140103.000000,89212.000000,136330.000000,23995.000000,18214.000000,23310.000000,60610.000000,21361.000000,25565.000000,18115.000000,36103.000000,11130.000000,17775.000000,5448.000000,16918.000000,20814.000000,15683.000000,10142.000000,898.000000
2005,1180235.000000,1169265.000000,181534.000000,197914.000000,83405.000000,146881.000000,93188.000000,142041.000000,24703.000000,19346.000000,23820.000000,62910.000000,22264.000000,26172.000000,18939.000000,36162.000000,10995.000000,18011.000000,5560.000000,17060.000000,21772.000000,16588.000000,10080.000000,890.000000
2006,1189878.000000,1179059.000000,184605.000000,197754.000000,85447.000000,148867.000000,94685.000000,143065.000000,24971.000000,20086.000000,24075.000000,63425.000000,22593.000000,26330.000000,19058.000000,34009.000000,10849.000000,17952.000000,5537.000000,17166.000000,21920.000000,16665.000000,9962.000000,857.000000
2007,1187929.000000,1176945.000000,184590.000000,196736.000000,86319.000000,149474.000000,94365.000000,142635.000000,24937.000000,20504.000000,23844.000000,63373.000000,22319.000000,26274.000000,18695.000000,33702.000000,10695.000000,17617.000000,5582.000000,17004.000000,22016.000000,16264.000000,10145.000000,839.000000
2008,1178882.000000,1170100.000000,183697.000000,194788.000000,86520.000000,149680.000000,93791.000000,141980.000000,24399.000000,20694.000000,23464.000000,62998.000000,22048.000000,26132.000000,18631.000000,33244.000000,10645.000000,17388.000000,5619.000000,16689.000000,21936.000000,15757.000000,7956.000000,826.000000
2009,1186308.000000,1177235.000000,185467.000000,196924.000000,87384.000000,150821.000000,94026.000000,142387.000000,24647.000000,20880.000000,23405.000000,62837.000000,21961.000000,26285.000000,18292.000000,33270.000000,10838.000000,17591.000000,5669.000000,16673.000000,22263.000000,15615.000000,8253.000000,820.000000
2010,1214339.000000,1203760.000000,190472.000000,201154.000000,90564.000000,155474.000000,95487.000000,144831.000000,25033.000000,21743.000000,23574.000000,63945.000000,22302.000000,26623.000000,18499.000000,33683.000000,11005.000000,17817.000000,5715.000000,16864.000000,23147.000000,15828.000000,9766.000000,813.000000
2011,1244172.000000,1231714.000000,194991.000000,204749.000000,94212.000000,160114.000000,97456.000000,147607.000000,25434.000000,22593.000000,24118.000000,64981.000000,22641.000000,27021.000000,18647.000000,34842.000000,11296.000000,18201.000000,5753.000000,17078.000000,23757.000000,16223.000000,11628.000000,830.000000
2012,1268909.000000,1252270.000000,198642.000000,208310.000000,96842.000000,163471.000000,98800.000000,149656.000000,25968.000000,23141.000000,24427.000000,65748.000000,22998.000000,27637.000000,18825.000000,35032.000000,11461.000000,18276.000000,5822.000000,17151.000000,24131.000000,15932.000000,15813.000000,826.000000
2013,1298032.000000,1278692.000000,203305.000000,212893.000000,100171.000000,167719.000000,100826.000000,152166.000000,25692.000000,23969.000000,24667.000000,66656.000000,23242.000000,28218.000000,19060.000000,35867.000000,11727.000000,18575.000000,5691.000000,17374.000000,24732.000000,16142.000000,18492.000000,848.000000
2014,1321343.000000,1301496.000000,207340.000000,216839.000000,102829.000000,171750.000000,102774.000000,153471.000000,26112.000000,24819.000000,25040.000000,67346.000000,23481.000000,28467.000000,19354.000000,36209.000000,11975.000000,18841.000000,5715.000000,17626.000000,25219.000000,16289.000000,19003.000000,844.000000
