年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,48.220000,48.220000,35.030000,92.310000,28.810000,36.590000,42.210000,60.310000,30.590000,60.420000,52.490000,42.770000,54.050000,53.290000,58.930000,50.380000,48.610000,53.480000,84.440000,31.570000,24.450000,54.140000,-,-
1999,49.340000,49.340000,35.820000,93.180000,29.330000,37.670000,42.770000,60.980000,31.010000,60.830000,52.940000,49.010000,54.700000,53.940000,60.200000,51.390000,48.500000,57.950000,84.440000,31.570000,25.900000,54.580000,-,-
2000,50.710000,50.710000,37.150000,94.070000,29.740000,41.750000,43.330000,61.750000,31.230000,61.580000,54.170000,55.420000,56.300000,55.120000,54.880000,52.770000,49.230000,58.470000,89.750000,31.570000,26.520000,55.100000,-,-
2001,53.000000,53.000000,47.840000,94.620000,30.910000,42.420000,44.400000,62.850000,31.280000,69.900000,54.580000,58.380000,61.120000,56.200000,54.880000,53.190000,55.680000,58.580000,89.750000,32.450000,42.880000,55.660000,-,-
2002,55.360000,55.360000,57.200000,94.760000,41.550000,42.820000,46.060000,64.000000,31.910000,71.350000,54.820000,59.450000,61.580000,55.800000,54.230000,55.230000,62.600000,61.260000,90.580000,32.570000,42.880000,56.420000,-,-
2003,57.760000,57.760000,58.600000,94.770000,41.290000,50.900000,46.500000,65.430000,32.790000,71.700000,55.130000,61.430000,63.610000,74.810000,56.680000,57.000000,62.930000,62.840000,89.880000,36.820000,50.890000,56.930000,-,-
2004,59.520000,59.520000,62.770000,95.240000,42.260000,51.540000,50.910000,66.730000,34.160000,73.220000,56.530000,59.040000,64.000000,75.780000,61.630000,57.080000,63.320000,63.600000,90.340000,37.040000,51.530000,61.970000,-,-
2005,60.710000,60.710000,67.870000,95.530000,42.960000,52.090000,51.380000,67.750000,34.640000,74.580000,56.530000,59.450000,64.530000,75.900000,62.020000,57.290000,63.620000,64.290000,90.340000,48.330000,52.250000,62.300000,-,-
2006,61.290000,61.290000,73.660000,95.940000,45.200000,50.830000,51.880000,68.030000,34.750000,74.580000,56.740000,60.240000,58.020000,76.100000,62.310000,57.730000,63.940000,65.460000,90.340000,48.800000,52.920000,63.920000,-,-
2007,62.000000,62.000000,74.050000,96.260000,45.670000,51.960000,52.560000,68.320000,34.940000,74.810000,57.000000,60.630000,59.230000,76.100000,62.940000,57.930000,63.720000,66.320000,91.060000,60.640000,53.410000,65.630000,-,-
2008,63.240000,63.240000,78.070000,96.590000,46.840000,52.470000,53.710000,68.820000,36.030000,75.260000,57.640000,60.980000,59.020000,76.440000,63.390000,58.270000,63.970000,73.110000,91.060000,60.820000,53.860000,67.590000,-,-
2009,65.630000,65.630000,78.360000,96.630000,47.050000,53.310000,57.330000,69.170000,54.820000,76.370000,58.210000,62.780000,62.780000,76.640000,64.560000,58.830000,64.730000,75.840000,91.240000,61.340000,55.220000,70.480000,-,-
2010,65.540000,65.540000,72.910000,96.660000,47.190000,54.200000,58.690000,69.260000,57.500000,77.350000,58.610000,64.550000,65.900000,81.450000,65.180000,59.350000,64.760000,65.500000,91.420000,62.190000,56.810000,71.750000,-,-
2011,65.640000,65.700000,77.490000,96.690000,45.120000,54.190000,59.280000,69.430000,59.380000,51.680000,59.170000,66.610000,68.280000,80.630000,65.490000,59.600000,58.190000,67.070000,93.850000,66.900000,58.150000,73.400000,24.770000,-
2012,67.310000,67.390000,79.350000,96.690000,51.870000,60.730000,58.870000,69.530000,59.260000,60.120000,61.360000,67.580000,68.910000,81.740000,58.720000,60.080000,58.190000,67.740000,93.850000,67.220000,61.080000,74.150000,24.770000,25.230000
2013,68.540000,68.620000,82.300000,96.690000,54.850000,63.450000,59.840000,69.590000,62.860000,60.120000,62.130000,68.120000,70.890000,77.180000,58.810000,60.210000,57.650000,67.980000,93.950000,67.580000,62.060000,75.190000,28.720000,25.230000
2014,69.400000,69.470000,82.900000,96.690000,56.130000,65.690000,60.870000,69.870000,65.050000,60.090000,62.780000,68.550000,73.230000,77.420000,57.950000,60.360000,57.650000,68.590000,93.950000,67.900000,62.270000,75.480000,33.370000,25.230000
