年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,96.548536,96.543307,96.213747,96.493726,96.238793,96.772215,96.397800,96.550719,96.411883,97.272314,97.380886,98.059955,96.689106,97.727051,98.001759,96.270981,91.457570,91.803633,97.669903,95.635631,97.164667,96.096402,98.833333,97.183099
1999,96.768678,96.763932,96.440035,97.174022,96.500800,96.845322,96.654206,96.776095,96.756848,97.183296,97.214630,98.313687,96.881991,97.952536,97.835877,96.500825,91.243839,91.144385,97.693727,95.088706,97.482745,96.924571,98.591549,98.837209
2000,96.718766,96.712534,96.636542,97.015856,96.568737,96.479255,96.480314,96.768002,96.649969,97.348385,97.046517,98.137285,96.749145,98.054271,97.938837,96.303753,91.301876,91.190934,98.869144,95.505840,97.210497,96.066380,98.727735,100.000000
2001,96.352658,96.342681,96.148732,96.918290,95.970285,96.522683,96.185300,96.425623,95.790049,97.175640,96.792268,97.785761,96.370370,97.362233,97.343503,95.359848,90.411840,89.899713,98.261665,95.862413,97.450658,95.612431,99.329759,100.000000
2002,96.360441,96.351262,96.169497,96.974305,96.170673,96.273400,96.009621,96.568432,96.032993,97.307985,96.744586,97.793800,95.919987,97.124058,97.747063,95.479778,90.314136,90.127551,97.862454,95.831135,97.656092,95.278970,98.915989,100.000000
2003,96.436341,96.426109,96.459196,97.288834,95.910546,96.266646,96.516527,96.443991,96.149755,97.062241,96.757624,97.753783,96.207265,97.617704,97.492826,95.295524,89.925926,89.887324,98.343080,94.826555,97.832338,95.926244,99.160839,100.000000
2004,96.327494,96.317186,96.289609,97.016340,95.964691,96.242221,96.195146,96.325547,95.483288,97.302765,96.763374,97.788199,96.041822,97.109527,96.981257,95.490874,90.012180,90.395315,97.555792,95.320352,97.715842,96.142043,98.920378,100.000000
2005,95.976760,95.964548,95.832807,97.070890,95.661392,95.762818,96.123029,96.021731,95.265983,96.881570,96.447734,97.459179,94.935194,96.940885,96.709712,94.639510,89.584208,89.214424,97.997644,94.295191,97.603342,95.871098,99.188092,97.196262
2006,95.796223,95.785373,95.797721,96.742471,95.292892,95.643058,95.982727,95.758265,94.838057,97.066802,96.180753,97.441842,95.341484,96.483357,96.547119,94.157538,88.093184,90.039190,97.677120,94.573901,97.591601,94.354466,98.275862,97.872340
2007,95.578092,95.561118,95.435211,96.554117,95.389761,95.248547,95.748031,95.501459,94.520548,96.702231,96.500571,97.173739,95.030514,96.400000,95.917111,94.170342,88.176895,88.203573,97.704082,94.053687,97.966912,94.729606,98.719317,100.000000
2008,95.856249,95.839805,95.954116,96.781209,95.531804,95.678099,96.256684,95.699216,94.759707,97.058824,96.563505,97.274823,94.554803,96.513819,96.055734,94.151708,88.624210,88.243626,96.694215,94.807553,97.813998,95.378151,99.072165,97.115385
2009,96.074957,96.056334,96.167389,96.799464,95.781799,95.973629,96.477881,96.024102,94.803409,97.385405,96.162966,97.198857,94.711293,96.697955,96.566322,94.839830,88.195876,88.935681,97.643979,94.504644,98.254505,94.867962,99.333333,97.196262
2010,95.471160,95.453558,95.546222,96.470588,95.169845,95.388238,96.012745,95.129523,94.808585,96.680580,95.759886,97.099121,93.801170,95.491398,95.925395,93.138187,88.966318,87.953866,96.978852,93.929712,97.975965,93.404735,98.290598,94.949495
2011,96.203472,96.190764,96.148355,97.214706,95.765201,96.304158,96.600507,95.847929,95.513544,96.405765,96.774194,97.811206,94.449238,96.453510,96.673190,93.836384,89.404353,89.588936,98.024691,93.822785,98.193332,95.273109,98.180243,97.727273
2012,96.397087,96.378172,96.457512,97.393044,95.766636,96.494139,96.687697,96.046148,95.394402,97.066409,97.309489,97.437399,95.069034,96.319118,96.837233,94.112967,88.589882,91.265277,98.466258,94.456023,97.825028,95.559846,99.231307,98.051948
2013,95.994234,95.977576,96.029514,97.435417,95.279585,96.098554,96.503922,95.445297,95.679542,96.447635,96.759512,97.316884,93.909796,95.961764,95.559105,93.345217,89.378395,88.784343,97.808535,92.933025,97.696923,95.151515,98.406677,96.732026
2014,96.269185,96.255181,96.383794,97.381477,95.092166,96.503016,97.043952,95.830373,95.435214,96.768028,96.843329,97.440372,94.352346,95.897340,95.649241,94.490973,89.419206,89.768852,98.303287,94.374394,97.655824,95.684803,98.127090,97.109827
