年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,10862.000000,1651.000000,1949.000000,557.000000,931.000000,674.000000,1770.000000,227.000000,236.000000,296.000000,442.000000,228.000000,325.000000,244.000000,423.000000,201.000000,226.000000,90.000000,155.000000,163.000000,74.000000,-,-
2001,-,11343.000000,1680.000000,2361.000000,609.000000,985.000000,707.000000,1716.000000,228.000000,221.000000,298.000000,446.000000,229.000000,304.000000,223.000000,416.000000,167.000000,230.000000,75.000000,186.000000,166.000000,96.000000,-,-
2002,-,11979.000000,1812.000000,2349.000000,690.000000,1050.000000,746.000000,1782.000000,247.000000,223.000000,325.000000,480.000000,249.000000,341.000000,271.000000,420.000000,195.000000,238.000000,80.000000,198.000000,170.000000,113.000000,-,-
2003,-,11524.000000,1777.000000,1726.000000,722.000000,1092.000000,754.000000,1772.000000,276.000000,223.000000,350.000000,503.000000,270.000000,341.000000,305.000000,433.000000,189.000000,246.000000,87.000000,200.000000,178.000000,80.000000,-,-
2004,12382.000000,12236.000000,1739.000000,2079.000000,766.000000,1212.000000,816.000000,1737.000000,299.000000,266.000000,356.000000,518.000000,290.000000,343.000000,326.000000,441.000000,203.000000,263.000000,90.000000,173.000000,192.000000,127.000000,106.000000,40.000000
2005,12638.000000,12456.000000,1815.000000,2157.000000,830.000000,1223.000000,767.000000,1698.000000,295.000000,289.000000,371.000000,537.000000,290.000000,363.000000,335.000000,449.000000,230.000000,272.000000,81.000000,198.000000,124.000000,132.000000,124.000000,58.000000
2006,12952.000000,12765.000000,1908.000000,2136.000000,823.000000,1220.000000,836.000000,1739.000000,291.000000,269.000000,372.000000,557.000000,291.000000,363.000000,348.000000,468.000000,243.000000,279.000000,97.000000,210.000000,183.000000,132.000000,119.000000,68.000000
2007,14233.000000,14032.000000,2005.000000,3014.000000,845.000000,1267.000000,864.000000,1841.000000,309.000000,266.000000,374.000000,563.000000,292.000000,374.000000,362.000000,464.000000,242.000000,276.000000,108.000000,220.000000,204.000000,142.000000,133.000000,68.000000
2008,14794.000000,14585.000000,2052.000000,2986.000000,939.000000,1290.000000,930.000000,1921.000000,326.000000,300.000000,395.000000,585.000000,318.000000,412.000000,411.000000,527.000000,227.000000,284.000000,109.000000,225.000000,205.000000,143.000000,141.000000,68.000000
2009,14666.000000,14441.000000,2183.000000,2270.000000,1013.000000,1331.000000,1059.000000,1816.000000,367.000000,331.000000,416.000000,634.000000,352.000000,446.000000,418.000000,544.000000,225.000000,302.000000,116.000000,275.000000,200.000000,143.000000,156.000000,69.000000
2010,14937.000000,14708.000000,2318.000000,2286.000000,1002.000000,1375.000000,1040.000000,1837.000000,375.000000,327.000000,423.000000,639.000000,339.000000,468.000000,433.000000,551.000000,235.000000,279.000000,121.000000,320.000000,201.000000,139.000000,159.000000,70.000000
2011,15673.000000,15443.000000,2439.000000,2584.000000,1116.000000,1416.000000,1125.000000,1821.000000,398.000000,331.000000,430.000000,668.000000,353.000000,467.000000,425.000000,544.000000,237.000000,292.000000,127.000000,314.000000,211.000000,145.000000,160.000000,70.000000
2012,16026.000000,15759.000000,2463.000000,2711.000000,1072.000000,1471.000000,1170.000000,1844.000000,396.000000,332.000000,427.000000,687.000000,355.000000,509.000000,421.000000,557.000000,222.000000,317.000000,125.000000,318.000000,206.000000,156.000000,182.000000,85.000000
2013,15914.000000,15647.000000,2451.000000,2815.000000,1065.000000,1398.000000,1132.000000,1837.000000,397.000000,335.000000,412.000000,684.000000,345.000000,476.000000,418.000000,554.000000,235.000000,316.000000,125.000000,305.000000,193.000000,154.000000,197.000000,70.000000
2014,15873.000000,15589.000000,2440.000000,2685.000000,1119.000000,1458.000000,1133.000000,1801.000000,396.000000,328.000000,444.000000,724.000000,347.000000,491.000000,399.000000,555.000000,233.000000,304.000000,125.000000,255.000000,206.000000,146.000000,215.000000,69.000000
