年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,8978115181.000000,8944068181.000000,521979506.000000,1849137315.000000,541997082.000000,516206838.000000,466631696.000000,1560201428.000000,114226640.000000,24148906.000000,295410222.000000,334624722.000000,416454610.000000,394961204.000000,529468032.000000,484189096.000000,131489984.000000,283326970.000000,113705314.000000,184649302.000000,74203266.000000,107056048.000000,30300000.000000,3747000.000000
1999,9994304668.000000,9959663668.000000,541348696.000000,2144098020.000000,571233192.000000,601731912.000000,510016496.000000,1828332272.000000,115301064.000000,25725112.000000,327814848.000000,402749864.000000,446602880.000000,432148192.000000,497814768.000000,486051248.000000,134991624.000000,323711664.000000,110346008.000000,218408544.000000,115276112.000000,125961152.000000,31401000.000000,3240000.000000
2000,10428691326.000000,10395175326.000000,628852728.000000,2017323670.000000,596203360.000000,691323808.000000,557158392.000000,1877661904.000000,115916152.000000,28246616.000000,328298832.000000,456026680.000000,489295312.000000,427467056.000000,549130128.000000,474248736.000000,134412256.000000,336103112.000000,106594224.000000,302833064.000000,136648656.000000,141430640.000000,30708000.000000,2808000.000000
2001,9823860567.000000,9794328567.000000,588045000.000000,1832891547.000000,556896000.000000,730956768.000000,568269000.000000,1654954308.000000,108313632.000000,28950000.000000,310509976.000000,419694000.000000,506811000.000000,451353000.000000,551691000.000000,456144000.000000,131976000.000000,247894000.000000,114875424.000000,283275000.000000,100626000.000000,150202912.000000,27030000.000000,2502000.000000
2002,9992655349.000000,9971547349.000000,640935000.000000,1619975465.000000,562443000.000000,823443000.000000,581013000.000000,1684194884.000000,118670000.000000,28143000.000000,313899000.000000,451584000.000000,547356000.000000,484572000.000000,567780000.000000,459552000.000000,134172000.000000,254395000.000000,124479000.000000,296895000.000000,111942000.000000,166104000.000000,18747000.000000,2361000.000000
2003,9879475809.000000,9862378809.000000,665841000.000000,1457439133.000000,536739000.000000,754620000.000000,616014000.000000,1710314676.000000,134330000.000000,63831000.000000,314547000.000000,417528000.000000,545238000.000000,528213000.000000,590433000.000000,443685000.000000,122136000.000000,257472000.000000,129264000.000000,301296000.000000,105897000.000000,167541000.000000,15087000.000000,2010000.000000
2004,9259999345.000000,9244327345.000000,587070000.000000,1300911387.000000,493827000.000000,729006000.000000,587088000.000000,1604270958.000000,130016000.000000,81174000.000000,290829000.000000,368645000.000000,541428000.000000,530235000.000000,589938000.000000,430189000.000000,101592000.000000,209567000.000000,119067000.000000,289983000.000000,100548000.000000,158943000.000000,13656000.000000,2016000.000000
2005,8929514079.000000,8916020079.000000,543432000.000000,1217539827.000000,469032000.000000,688320000.000000,574365000.000000,1640264252.000000,127347000.000000,69540000.000000,276386000.000000,322564000.000000,542691000.000000,450975000.000000,574578000.000000,476293000.000000,90826000.000000,202528000.000000,119544000.000000,276468000.000000,94636000.000000,158691000.000000,11478000.000000,2016000.000000
2006,8673015499.000000,8662197499.000000,476037000.000000,1113863777.000000,454998000.000000,683391480.000000,580827000.000000,1698075242.000000,126149000.000000,76896000.000000,272916000.000000,309823000.000000,489828000.000000,448536000.000000,561897000.000000,470646000.000000,76814000.000000,189190000.000000,118473000.000000,266457000.000000,89070000.000000,158310000.000000,8979000.000000,1839000.000000
2007,8466957511.000000,8458569511.000000,469833000.000000,1039411355.000000,442482000.000000,678270160.000000,578052000.000000,1794551196.000000,122121000.000000,60033000.000000,237528000.000000,284432000.000000,492732000.000000,428869800.000000,535563000.000000,469240000.000000,71709000.000000,125714000.000000,117417000.000000,263001000.000000,86378000.000000,161232000.000000,6942000.000000,1446000.000000
2008,7858750353.000000,7851727353.000000,462048000.000000,877550711.000000,417066000.000000,619788000.000000,531927000.000000,1780952748.000000,125793000.000000,62355000.000000,209424000.000000,272572400.000000,429456000.000000,423126000.000000,444036000.000000,434757674.000000,65655000.000000,94601820.000000,99150000.000000,261843000.000000,82536000.000000,157089000.000000,5739000.000000,1284000.000000
2009,7688978071.000000,7682645071.000000,485960627.000000,807095686.000000,417834000.000000,611099000.000000,524829000.000000,1803674628.000000,119394000.000000,57624000.000000,194019000.000000,272038000.000000,426114000.000000,381765000.000000,410286000.000000,428638400.000000,58683000.000000,105510730.000000,95901000.000000,251613000.000000,79606000.000000,150960000.000000,5175000.000000,1158000.000000
2010,7609079377.000000,7603322377.000000,517401348.000000,768972584.000000,411969000.000000,621227000.000000,522534000.000000,1839321370.000000,119505000.000000,62551150.000000,186674395.000000,309870000.000000,385809000.000000,360811200.000000,385044000.000000,426506600.000000,59088000.000000,108525730.000000,81471000.000000,219369000.000000,72849000.000000,143823000.000000,5049000.000000,708000.000000
2011,7618135992.000000,7612645992.000000,560328348.000000,734432807.000000,403662000.000000,630756000.000000,539106348.000000,1871655408.000000,119376000.000000,67933560.000000,176214091.000000,306561000.000000,382530000.000000,354183000.000000,368613000.000000,432751200.000000,64503230.000000,101164000.000000,77349000.000000,211971000.000000,71211000.000000,138345000.000000,4956000.000000,534000.000000
2012,9239675567.000000,9233323267.000000,736560192.000000,854868192.000000,471272400.000000,802603500.000000,657082783.000000,2333432007.000000,149007000.000000,89482338.000000,197065890.000000,374630000.000000,433669300.000000,416445600.000000,412506000.000000,530097065.000000,81941500.000000,122920200.000000,75470400.000000,244742400.000000,88087500.000000,161439000.000000,5423500.000000,928800.000000
2013,9248231640.000000,9242137577.000000,793836000.000000,834648588.000000,458002800.000000,859176191.000000,660282528.000000,2315528148.000000,144696400.000000,88863654.000000,184582728.000000,388287794.000000,439371900.000000,406432800.000000,396313200.000000,516738518.000000,85060628.000000,118090100.000000,74530800.000000,229471200.000000,89841600.000000,158382000.000000,5078863.000000,1015200.000000
2014,9384590116.000000,9378537352.000000,835988700.000000,824205277.000000,454989600.000000,921087923.000000,683885622.000000,2345118813.000000,147033500.000000,89787400.000000,176936400.000000,410108400.000000,420861530.000000,408362400.000000,387306000.000000,524953118.000000,88610400.000000,124875069.000000,65473200.000000,225972000.000000,89276400.000000,153705600.000000,5231964.000000,820800.000000
