年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,62.550000,62.550000,48.530000,70.740000,46.680000,56.530000,47.010000,64.530000,53.750000,-,43.890000,-,52.550000,-,49.240000,68.100000,50.260000,60.380000,42.020000,74.200000,59.770000,56.580000,-,-
2010,68.240000,68.240000,52.090000,75.170000,69.450000,67.180000,57.610000,66.040000,54.130000,34.610000,60.810000,-,60.510000,-,50.880000,73.680000,62.630000,61.220000,35.940000,72.710000,67.040000,61.170000,-,-
2011,68.110000,68.110000,46.680000,75.310000,75.400000,66.920000,62.140000,65.630000,59.600000,29.900000,67.580000,-,54.510000,-,63.010000,72.200000,66.090000,60.400000,36.160000,72.740000,58.000000,61.770000,-,-
2012,69.980000,69.980000,50.940000,77.890000,83.320000,70.360000,59.850000,65.430000,61.020000,32.160000,64.060000,-,58.070000,-,48.370000,73.400000,66.820000,62.800000,29.730000,72.250000,58.100000,66.000000,-,-
2013,69.280000,69.280000,58.540000,76.320000,80.990000,64.670000,65.330000,65.700000,64.250000,37.380000,59.630000,-,58.620000,-,40.790000,78.370000,63.470000,59.110000,27.800000,77.530000,64.890000,59.150000,-,-
2014,72.020000,72.020000,63.610000,77.960000,83.700000,65.860000,66.540000,68.290000,67.210000,40.390000,69.870000,-,62.680000,-,56.240000,74.420000,70.240000,68.340000,34.040000,78.560000,69.350000,62.780000,-,-
